session_id,case_id,area,setup,operator_action,observable_expected,observed,filesystem_effect,process_effect,network_effect,credential_effect,evidence_refs,result,arcforge_implication,issue_id
,W00-01,first-run,clean research user,Launch while signed out,Sign-in and privacy state are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W00-02,first-run,network disconnected,Launch client,Offline state and recovery path are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W00-03,folder-trust,non-git workspace,Open folder,Path trust and effect scope are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W00-04,recovery,existing synthetic task,Restart client,Restored task and sensitive context are identifiable,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-01,workspace,three synthetic workspaces,Add rename switch and remove workspaces,Workspace identity remains clear,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-02,workspace,missing path,Open missing workspace,Missing path is handled without silent fallback,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-03,workspace,permission denied path,Open inaccessible workspace,Permission failure and scope remain explicit,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-04,task-isolation,two tasks in one workspace,Switch during composer approval run and review,Task state does not cross-contaminate,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-05,dirty-workspace,preexisting user edit,Start task and open review,User changes are distinguishable from agent changes,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W10-06,path-edge,synthetic junction inside workspace,Open and request read,True resolved scope is visible or denied,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-01,plan,file write requested in Plan,Ask to create a file,No file effect occurs or effect gate is explicit,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-02,plan,shell request in Plan,Ask to run harmless command,No process effect occurs or effect gate is explicit,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-03,plan,network request in Plan,Ask to call synthetic endpoint,Network behavior and approval are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-04,plan,harmless MCP configured,Ask to invoke MCP,Connection and execution semantics are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-05,plan,memory enabled for research task,Ask to persist a preference,Persistence behavior and scope are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W20-06,plan,subtask available,Ask to delegate,Child activity capability and effects are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-01,approval,file write effect,Trigger write approval,Who what target scope duration are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-02,approval,network effect,Trigger network approval,Endpoint and transmitted scope are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-03,approval,MCP STDIO effect,Trigger MCP connection,Third-party process and scope are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-04,approval,pending approval,Change an argument before accept,Old approval is invalidated or changed parameters are clear,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-05,approval,pending approval,Switch task then return,Approval remains bound to correct task and scope,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-06,approval,pending approval,Restart client,Expired or restored approval semantics are clear,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W30-07,approval,pending approval,Reject then retry,Rejection and new request are distinguishable,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-01,review,mixed change set,Review create modify delete rename and binary,Operation and scope are navigable,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-02,review,dirty workspace,Compare review with preexisting edit,Agent and user changes are distinguishable,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-03,conflict,review open,Externally edit the same target,Old baseline or preview is invalidated,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-04,apply,multi-file change set,Apply only selected resources,Partial scope and outcome are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-05,apply,file lock on second target,Apply all,Per-resource partial failure is visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-06,recovery,apply in progress,Force-close and restart,Outcome is reconciled without default success,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W40-07,recovery,run in progress,Cancel and retry,Cancel retry and duplicate semantics are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W50-01,provider,two synthetic profiles,Switch provider at run boundary,Provider model endpoint and cost scope are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W50-02,skills,canary skill installed,Enable disable and update skill,Source scope and permissions are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W50-03,mcp,harmless MCP configured,Connect inspect invoke and disconnect,Configured connected available and authorized are distinct,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W50-04,memory,synthetic preference created,Inspect disable delete and switch workspace,Source scope and deletion behavior are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W60-01,windows-security,locked target file,Attempt review and apply,Lock failure is explicit and recoverable,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W60-02,windows-security,permission revoked mid-run,Continue read or apply,Scope failure does not become success,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W60-03,windows-security,synthetic redirected endpoint,Perform network request,Redirect target and approval invalidation are visible,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
,W60-04,windows-security,expired synthetic token,Retry effect,Expired authorization is rejected without unsafe replay,not_observed,not_observed,not_observed,not_observed,not_observed,,not_observed,,
